Company,Region,Fiscal Year,Event Date (adjusted),Estimation N,Est_Calendar_Mismatch_N,Alpha,Beta,"CAR[-1,+1]","CAR[-1,+1]_Calendar_Gaps","CAR[-2,+2]","CAR[0,+1]","CAR[0,+5]","CAR[0,+15]","CAR[0,+20]","CAR[0,+30]","CAR[0,+45]","CAR[0,+60]","|CAR|[-1,+1]",n_corporate_tier1plus,Specificity,ESGSentiment,total_sentences,Sentiment,cluster_3d,Leverage,Size,ROA,Revenue_Growth,Cluster1_HighSpec,Cluster0_HighVolLowSpec
Chubb,United States,2019,2020-03-30,221,0,0.0003014429894942,0.7293162675855729,0.0325160915070373,0,0.0297738720261421,0.0180830477819401,-0.0025528007362072,-0.0016597858282526,-0.0517964822015032,-0.1359467547435401,0.0167728079439222,0.0388718114495838,0.0325160915070373,55.0,1.3636363636363635,0.4,433.0,0.2586605080831409,2.0,2.1978999114420485,12.08358292579361,0.0255845102660178,4.0367,0,0
Chubb,United States,2020,2021-04-01,221,0,9.725576671950032e-06,1.102032819435501,-0.0406164337115852,0,-0.0211291398127116,-0.0148622323316493,-0.02031624378474,0.0171100241883629,0.0370160740807924,0.0246130726014983,-0.0025213552987414,-0.0680315342240042,0.0406164337115852,48.0,1.3541666666666667,0.25,476.0,0.1680672268907563,2.0,2.2094682121767804,12.158844760367131,0.0169572373593885,5.1158,0,0
Chubb,United States,2021,2022-04-04,221,0,0.0010367294597762,0.8227928675372365,-0.0091951825034437,0,-0.0055837759976949,-0.01637446800511,0.0132446975673662,-0.0072236459955135,0.005116228708277,0.0336970087525686,-0.0012899880760694,-0.0093765456113991,0.0091951825034437,62.0,1.5,0.3225806451612903,512.0,0.26171875,2.0,2.350202632548481,12.206342609086734,0.0275725554100392,9.0951,0,0
Chubb,United States,2022,2023-04-03,221,0,0.0001920331518283,0.5880549041201056,0.0023315089114824,0,0.0037533633292899,0.0057776717110471,0.0175405941551884,0.0339568273240275,0.0253072924747143,0.0188526649239967,-0.0332003338794987,-0.0632852123789523,0.0023315089114824,26.0,1.5769230769230769,0.3846153846153846,421.0,0.33729216152019,2.0,2.939448524317584,12.201145527193615,0.0327057487551314,10.7784,0,0
Chubb,United States,2023,2024-04-01,221,0,0.0009825552954923,0.3511134543481005,-0.007881433929439,0,-0.0101809074099097,-0.0093360154961942,-0.0262521517099931,-0.0292113983479465,-0.0495036158015792,-0.0456517408670425,-0.0220134745093878,-0.0579024842827876,0.007881433929439,31.0,1.4193548387096775,0.1935483870967742,439.0,0.1845102505694761,2.0,2.62189320312132,12.34879541771084,0.0391447967331651,14.8451,0,0
Dai-ichi Life Holdings,Japan,2014,2014-09-24,214,7,-0.0003012911768341,0.6004369676613739,0.0016975095996926,0,0.0164265945168609,0.0026906322751957,-0.0129592685422482,-0.088386711239463,-0.0976161993365654,0.0320284229510453,0.0895438372994568,0.1737480069470724,0.0016975095996926,24.0,1.4583333333333333,0.6666666666666666,63.0,0.6031746031746031,0.0,18.35968595210312,12.809899568504097,0.0027271940472244,14.812,0,1
Dai-ichi Life Holdings,Japan,2015,2015-09-28,214,7,0.0022214128830481,0.2578515810435052,-0.0260352024692254,0,-0.0026913202482157,-0.041724237471472,-0.0018822360342253,0.0195854889263131,0.0314405992763976,0.1291907092461019,0.0022151312397419,-0.0933920976793864,0.0260352024692254,24.0,1.4583333333333333,0.7083333333333334,62.0,0.6129032258064516,0.0,12.882511240462383,12.9371973018401,0.0032504038973812,22.4333,0,1
Dai-ichi Life Holdings,Japan,2016,2016-09-27,214,7,-0.0022606453793353,0.6124145568564999,-0.0792583841995048,0,-0.0886440976577719,-0.0383672504800772,-0.0234156783466791,0.0652843706629694,0.095062705617402,0.1897185337919643,0.4123790296266681,0.4456327485377758,0.0792583841995048,11.0,1.2727272727272727,0.4545454545454545,63.0,0.6190476190476191,2.0,16.022031996498203,13.003077653176792,0.0038295519524126,-2.0217,0,0
Dai-ichi Life Holdings,Japan,2017,2017-08-28,213,8,0.0020126709649873,0.744776328418256,-0.0202460711259966,0,-0.0288955586942709,-0.0224327781137495,-0.0250732386951857,-0.0143580737815813,0.024715082430795,0.0678300695093412,0.0851082505108742,0.0363035729131986,0.0202460711259966,7.0,1.0,0.1428571428571428,39.0,0.4358974358974359,2.0,15.570431041850965,13.054163022650156,0.0047214060807129,-11.1046,0,0
Dai-ichi Life Holdings,Japan,2018,2018-08-29,213,8,0.0009376750844174,-0.1224017886571468,0.0067024152710691,0,0.0132315380830252,0.0101032639600241,-0.0166731861215686,0.0866735183734089,0.139506601151317,0.1263152179351571,-0.0180713440194498,-0.1088171873705226,0.0067024152710691,36.0,1.1666666666666667,0.5833333333333334,122.0,0.4098360655737705,0.0,13.296920137005566,13.131603702005275,0.0062478332381216,8.6375,0,1
