Company,Year,Total Assets (Million USD),Total Liabilities (Million USD),Total Equity (Million USD),Leverage,Revenue Growth YoY (%),"Net Income, Adj",ROA,ROE,ROE_sign_flip_risk,Size,Region
Allianz,2015,922460.3772,850637.2038,71823.1734,11.843492337251698,6.6311,7726.5812,0.00837605754238785,0.10757783086203762,0,13.73479970242966,Europe
Allianz,2016,932153.3523,858181.9678,73971.3845,11.601539887360092,0.6428,8088.3609,0.008677071084969802,0.10934445738270587,0,13.745252621226747,Europe
Allianz,2017,1083500.0,1001100.0000000001,82473.3244,12.138470314893723,-0.3008,8407.5101,0.0077595847715736035,0.10194217537810323,0,13.895707099958551,Europe
Allianz,2018,1027900.0,954968.5376,72925.1908,13.09518051476939,-4.1315,9204.6198,0.008954781398968771,0.12622003040408913,0,13.843028444001014,Europe
Allianz,2019,1135500.0,1048600.0,86872.0356,12.070627708417598,9.8963,9224.8034,0.008124001232937033,0.10618841076172504,0,13.94258364052775,Europe
Allianz,2020,1295900.0,1192400.0,103418.61,11.529839745477144,-0.6593,8433.5169,0.006507845435604599,0.0815473820427484,0,14.074715992423506,Europe
Allianz,2021,1297400.0,1201500.0,95895.1692,12.529306846459999,5.8149,11787.2153,0.009085259210729151,0.1229177173191744,0,14.075872819761091,Europe
Allianz,2022,1002400.0,939528.2182,62911.0585,14.934230016174343,-35.8955,7504.0813,0.0074861146249002395,0.11928079862143791,0,13.817907682563996,Europe
Allianz,2023,1087800.0,1019700.0,68109.984,14.971373359888032,4.3899,9812.7173,0.009020699852914139,0.144071643006112,0,13.899667865970997,Europe
Allianz,2024,1081000.0,1014699.9999999999,66311.2175,15.302086709537491,7.6051,11286.8364,0.010441106753006475,0.1702100613670681,0,13.893397096621346,Europe
Allstate,2012,126947.0,106367.0,20580.0,5.16846452866861,3.0696,2581.0,0.020331319369500656,0.12541302235179785,0,11.751524955502674,N. America
Allstate,2013,123520.0,102040.0,21480.0,4.750465549348231,2.4626,3505.0,0.028375971502590674,0.1631750465549348,0,11.724158365258603,N. America
Allstate,2014,108479.0,86175.0,22304.0,3.863656743185079,1.9337,3250.7,0.029966168567188117,0.14574515781922523,0,11.594311884842648,N. America
Allstate,2015,104656.0,84631.0,20025.0,4.226267166042447,3.1618,2140.0,0.020447943739489376,0.10686641697877652,0,11.558434060200995,N. America
Allstate,2016,108610.0,88037.0,20573.0,4.27924950177417,5.2466,1836.5,0.016909124390019334,0.08926748651144704,0,11.595518763274082,N. America
Allstate,2017,112422.0,89871.0,22551.0,3.985233470799521,3.9451,2458.85,0.021871608759851273,0.10903507604984257,0,11.630014926826567,N. America
Allstate,2018,112249.0,90937.0,21312.0,4.266938813813814,4.4179,1435.93,0.012792363406355515,0.06737659534534535,0,11.62847489687885,N. America
Allstate,2019,119950.0,93952.0,25998.0,3.6138164474190324,-1.6993,3057.53,0.025490037515631513,0.11760635433494886,0,11.694830268267841,N. America
Allstate,2020,125987.0,95770.0,30217.0,3.169407949167687,2.0473,4668.121,0.03705240223197632,0.1544865804017606,0,11.743934006007574,N. America
Allstate,2021,99440.0,74313.0,25127.0,2.9574959207227285,21.2679,4348.9946,0.04373486122284795,0.1730805348827954,0,11.507309726184593,N. America
Allstate,2022,97989.0,80626.0,17363.0,4.643552381500893,6.0177,-571.7782,-0.005835126391737847,-0.03293084144445084,0,11.49261050645482,N. America
Allstate,2023,103362.0,85732.0,17630.0,4.8628474191718665,9.3573,119.8056,0.0011590874789574506,0.006795553034600114,0,11.545992668674424,N. America
Allstate,2024,111617.0,90250.0,21367.0,4.223803060794683,12.0866,4762.8006,0.04267092467993226,0.22290450694996955,0,11.622828647077453,N. America
Assicurazioni Generali,2012,583324.5561,554652.7539,28671.8022,19.344886311332047,7.679,46.2914,7.935787978736182e-05,0.0016145270421822318,0,13.276499010432671,Europe
Assicurazioni Generali,2013,620030.6584,590515.3039,29515.3545,20.007054426535856,2.8006,1906.2265,0.003074406844524513,0.06458423191224079,0,13.337524204830968,Europe
Assicurazioni Generali,2014,606594.78,577330.93,29263.85,19.728468058714082,4.9437,2369.9523,0.00390697773561454,0.08098566319879305,0,13.315616268858346,Europe
Assicurazioni Generali,2015,543894.3702,517047.744,26846.6262,19.259319221273323,4.4253,2391.9404,0.00439780319682375,0.08909649883678866,0,13.206510334557702,Europe
Assicurazioni Generali,2016,549692.7648,522620.7252,27072.0396,19.304815334268348,-6.8655,2300.9031,0.004185798408383927,0.08499186370871,0,13.217114791673719,Europe
Assicurazioni Generali,2017,645690.8002,614219.6086,31471.1916,19.516884406753764,-2.3757,2439.0683,0.003777455554956813,0.07750161897269883,0,13.378076030719965,Europe
Assicurazioni Generali,2018,590725.0804,562503.9168,28221.1636,19.93198880006493,-11.8278,2516.5979,0.004260184616329353,0.08917413667521491,0,13.2891060111717,Europe
Assicurazioni Generali,2019,577815.1446,544294.3338,33520.8108,16.23750502478896,28.0759,2673.113,0.004626242536184296,0.07974487896336922,0,13.26700927747036,Europe
Assicurazioni Generali,2020,665907.975,627037.365,38870.61,16.13140017612278,-10.7987,2438.1913,0.003661453821753674,0.06272583064685633,0,13.408906764299712,Europe
Assicurazioni Generali,2021,667475.785,631181.7714,36294.0136,17.390795582883673,18.2632,3702.6272,0.005547208278125025,0.10201757349867747,0,13.411258391444951,Europe
Assicurazioni Generali,2022,539016.0796,507983.0993,31032.9803,16.369136782521657,-51.3876,3763.4055,0.006981991154684654,0.1212711593800741,0,13.197500681728163,Europe
Assicurazioni Generali,2023,562727.2104,528114.5928,34612.6176,15.257863444572306,12.8142,4258.1115,0.00756691949723425,0.12302194388210616,0,13.240550261103113,Europe
Assicurazioni Generali,2024,557445.7803,523195.7648,34250.0155,15.275781840157123,9.7038,4243.5545,0.007612497304610058,0.12389934538861741,0,13.231120522519566,Europe
China Life,2012,304557.498,268775.4611,35782.0369,7.511463415320552,0.158,1753.0417,0.005756028702337185,0.048992227717477986,0,12.626615175892612,Asia
China Life,2013,325976.6374,289200.3172,36776.3201,7.86376441181781,12.4899,4028.3243,0.012357708614120454,0.10953581785905764,0,12.69458099336365,Asia
China Life,2014,361917.55,315629.0879,46288.4622,6.818742142183328,5.4759,5228.1672,0.014445741025822042,0.11294752410245333,0,12.799171702435167,Asia
China Life,2015,377389.5954,327106.1272,50283.4682,6.505241959423952,15.1289,5522.1619,0.014632522908181905,0.10982062490271902,0,12.841033342379157,Asia
China Life,2016,388626.4536,344294.8542,44331.5993,7.766353112372375,6.5685,2880.2943,0.007411472567857126,0.06497158562921505,0,12.870373887720737,Asia
