Company,Year,Market Capitalization (Million USD),Total Assets (Million USD),Total Liabilities (Million USD),Tobins Q,Region
MetLife,2014,61225.9798,902337.0,829678.0,0.987329545169931,N. America
MetLife,2013,60499.865,885296.0,822313.0,0.997195135864163,N. America
MetLife,2012,35960.1611,836781.0,771823.0,0.9653459639977485,N. America
MetLife,2015,52935.9552,877933.0,809437.0,0.9822765008263729,N. America
Munich RE,2024,67428.5341,296514.3735,262626.573,1.1131167207986967,Europe
Munich RE,2012,32041.9316,341031.5952,304820.3469,0.9877743975670206,Europe
Munich RE,2023,56635.7343,302924.5752,269985.9408,1.0782277234666564,Europe
Munich RE,2014,33796.9485,330310.64,293660.95,0.9913634586521343,Europe
Munich RE,2015,32643.1234,292151.9688,258504.3132,0.996561610711966,Europe
Munich RE,2017,32868.3189,319450.9884,285551.3528,0.9967715964656568,Europe
Munich RE,2018,31815.5918,309396.3936,279048.5936,1.0047440494794442,Europe
Munich RE,2019,42620.3404,322893.2637,288559.4733,1.0256634341176563,Europe
Munich RE,2020,41584.585,364238.985,327571.32,1.0134991590754625,Europe
Munich RE,2021,41554.0855,355704.333,320470.356,1.0177678704296245,Europe
Munich RE,2022,44818.6024,288544.7001,259362.5806,1.054190851173426,Europe
Munich RE,2016,29729.353,282453.9335,248930.294,0.9865667068148655,Europe
Munich RE,2013,39180.2263,350670.8168,314560.1836,1.0087534888931196,Europe
New China Life,2023,11157.1728,197608.4324,182809.2435,0.9815695309366769,Asia
New China Life,2024,9479.2536,231840.5622,218651.944,0.9840003640225817,Asia
New China Life,2014,21871.4694,103700.261,95908.9152,1.1357771278897746,Asia
New China Life,2015,21126.3611,101820.4239,92904.6628,1.1199228949586018,Asia
New China Life,2016,17904.0985,100750.897,92231.0763,1.0931433672496238,Asia
New China Life,2017,29568.0584,109160.5576,99367.1139,1.1811516461143472,Asia
New China Life,2018,12388.8562,106698.9896,97162.6081,1.0267338492210052,Asia
New China Life,2019,19167.24,126227.1304,114097.8545,1.0557563503004266,Asia
New China Life,2020,22555.8296,153875.4749,138297.5855,1.0453479685735156,Asia
New China Life,2021,15521.6777,177423.42,160351.0014,0.99125966064683,Asia
New China Life,2022,11624.8347,176113.4143,161908.2133,0.9853482694077779,Asia
New China Life,2012,13568.664,79180.9142,73426.6239,1.0986901171696755,Asia
New China Life,2013,11372.1476,93491.6727,86995.4068,1.052153112241835,Asia
People Insurance China,2014,19860.8618,126014.2733,105784.0642,0.9970690042458864,Asia
People Insurance China,2024,22033.1476,241981.6697,191645.8887,0.8830381101383069,Asia
People Insurance China,2023,26875.7346,219213.9357,172334.1125,0.9087462731959882,Asia
People Insurance China,2022,29757.2031,205300.6407,161104.282,0.92966823897496,Asia
People Insurance China,2021,28889.8086,216619.7826,169909.8504,0.9177354746361932,Asia
People Insurance China,2020,38499.079,192435.3475,150525.1869,0.9822741422284698,Asia
People Insurance China,2012,21401.1037,110449.0778,97082.2775,1.0727421501386225,Asia
People Insurance China,2018,17786.2647,149979.6467,119987.4973,0.918616392500143,Asia
People Insurance China,2017,20907.0834,151829.0378,123107.7197,0.9485326732407179,Asia
People Insurance China,2016,16742.2122,134325.9795,109807.3404,0.9421077968018838,Asia
People Insurance China,2015,20801.1787,130014.3353,105783.8921,0.9736239508352122,Asia
People Insurance China,2019,42321.7838,162740.7588,127226.4985,1.0418304765824895,Asia
People Insurance China,2013,20517.6789,124796.6096,109133.2364,1.038897737010317,Asia
Ping An,2017,190353.37,997906.0046,907550.3712,1.1002075707922843,Asia
Ping An,2013,61033.9641,555203.2252,515598.2751,1.0385967030221785,Asia
Ping An,2014,100192.3025,645344.4276,588345.362,1.0669305181120616,Asia
Ping An,2015,101433.3997,734513.9114,670765.0096,1.0513053562568644,Asia
Ping An,2016,92572.3514,803623.0673,733524.7921,1.0279659421369125,Asia
Ping An,2018,161392.96,1038400.0,939058.9518,1.0597572340138677,Asia
Ping An,2020,235602.9071,1459700.0,1308400.0,1.0577535843666506,Asia
Ping An,2021,139543.6629,1595600.0,1426100.0,0.9812256598771621,Asia
Ping An,2022,123108.2695,1596000.0,1424000.0,0.9693660836466165,Asia
Ping An,2012,60973.6234,456177.3857,422552.8468,1.059952740660375,Asia
Ping An,2024,107957.4726,1775200.0,1596400.0,0.9600932134970708,Asia
Ping An,2019,221007.1053,1180900.0,1058500.0,1.083501655771022,Asia
Ping An,2023,94786.1352,1631200.0,1458100.0,0.9519900289357528,Asia
Power Corp Canada,2012,11734.6359,273024.4246,247088.1496,0.9479839976924906,N. America
Power Corp Canada,2021,22359.5452,523071.389,488501.0673,0.9766556214757905,N. America
Power Corp Canada,2019,10991.987,367737.71,339547.6961,0.9532328982523984,N. America
Power Corp Canada,2018,8389.8023,331989.8708,304064.1515,0.9411550811688197,N. America
Power Corp Canada,2017,11997.5554,355648.599,326259.28,0.9510984616587792,N. America
Power Corp Canada,2016,10349.2889,314292.9368,288225.2788,0.9499881567176216,N. America
Power Corp Canada,2015,9694.5449,305799.1033,280121.4926,0.947733444514649,N. America
Power Corp Canada,2014,12619.0304,325252.6905,298145.5015,0.9554556840783458,N. America
Power Corp Canada,2013,13836.2166,324618.9311,296969.3263,0.9574473732841393,N. America
Power Corp Canada,2022,15703.2646,520621.5817,490629.7118,0.972554719584726,N. America
Power Corp Canada,2020,15504.379,492719.2982,462383.302,0.9698984447043524,N. America
Power Corp Canada,2024,20092.595,591632.3836,561065.3231,0.9822956521814031,N. America
Power Corp Canada,2023,18712.5802,567485.4244,536240.63,0.9779162359751349,N. America
Progressive,2013,16247.466,24408.2,18218.7,1.412073237682418,N. America
Progressive,2024,140411.46,105745.0,80154.0,2.085824010591517,N. America
Progressive,2023,93226.584,88690.8,68413.7,1.822514668939732,N. America
Progressive,2021,59988.66,71132.3,52900.7,1.5870337385407192,N. America
Progressive,2020,57864.576,64098.3,47059.7,1.6369275940235544,N. America
Progressive,2022,75867.379,75465.0,59574.0,1.7947575564831382,N. America
Progressive,2018,35184.456,46575.0,35538.7,1.5184789264626943,N. America
Progressive,2017,32761.344,38701.2,28912.7,1.593595134001013,N. America
Progressive,2016,20586.45,33427.5,24986.7,1.3633430558671753,N. America
Progressive,2015,18558.48,29819.3,22065.0,1.3623217178136307,N. America
Progressive,2014,15864.722,25787.6,18859.0,1.3465278661061908,N. America
Progressive,2019,42319.194,54910.5,41011.7,1.5175766747707633,N. America
Progressive,2012,12757.06,22694.7,16687.7,1.2974289151211518,N. America
Prudentials,2020,30949.8718,940722.0,872512.0,0.9603919880687386,N. America
Prudentials,2024,42026.8267,735587.0,707400.0,1.0188146700526246,N. America
Prudentials,2023,36772.1438,721212.0,693102.0,1.012010537539586,N. America
Prudentials,2022,36398.6532,689029.0,657110.0,1.0065014000862083,N. America
