outcome,model,fixed_effects,covariance,term,N,firms,coefficient,SE,p_value,CI95_low,CI95_high,R_squared
"|CAR|[-1,+1]",M2b_ESG_sentiment,pooled,firm_cluster_CR1,ESG_sentiment,62,7,0.010177079112723544,0.005686976309850995,0.1237314324129547,-0.0037384506170315968,0.024092608842478686,0.017060231709126517
"|CAR|[-1,+1]",M2b_ESG_sentiment,firm_FE,HC3,ESG_sentiment,61,6,0.009831310982835439,0.013756247935636847,0.4778853444803997,-0.01774830558650258,0.03741092755217346,0.06798594995006169
"|CAR|[-1,+1]",M2b_ESG_sentiment,firm_FE,firm_cluster_CR1,ESG_sentiment,61,6,0.009831310982835439,0.00744255045955499,0.24373803593914817,-0.009300374039303323,0.0289629960049742,0.06798594995006169
"|CAR|[-1,+1]",M2b_ESG_sentiment,firm_year_FE,HC3,ESG_sentiment,61,6,0.0032556287348048784,0.014274233118892594,0.8206672546557877,-0.02553110584602527,0.03204236331563502,0.36879605286509776
"|CAR|[-1,+1]",M2b_ESG_sentiment,firm_year_FE,firm_cluster_CR1,ESG_sentiment,61,6,0.0032556287348048784,0.006116558313332926,0.6173360151643338,-0.012467484962059036,0.01897874243166879,0.36879605286509776
"|CAR|[-1,+1]",M3_specificity_overall,pooled,HC3,Specificity_mean,62,7,-0.0029613519300076604,0.006719744754459071,0.6610450111639875,-0.016407530125613138,0.010484826265597817,0.0257824310824305
"|CAR|[-1,+1]",M3_specificity_overall,pooled,HC3,Overall_sentiment,62,7,0.016050452262550183,0.01715526801911114,0.35329344883500163,-0.01827715975355667,0.050378064278657035,0.0257824310824305
"|CAR|[-1,+1]",M3_specificity_overall,pooled,firm_cluster_CR1,Specificity_mean,62,7,-0.0029613519300076604,0.012032392509591091,0.8137965113104885,-0.03240355575935418,0.026480851899338853,0.0257824310824305
"|CAR|[-1,+1]",M3_specificity_overall,pooled,firm_cluster_CR1,Overall_sentiment,62,7,0.016050452262550183,0.01305969347387106,0.26507934761867646,-0.015905466470985653,0.04800637099608602,0.0257824310824305
"|CAR|[-1,+1]",M3_specificity_overall,firm_FE,HC3,Specificity_mean,61,6,0.006655544488745817,0.011427761349526808,0.5627658962385658,-0.016265642073515902,0.029576731051007537,0.0918897182158771
"|CAR|[-1,+1]",M3_specificity_overall,firm_FE,HC3,Overall_sentiment,61,6,0.02292281310977564,0.026406625619079326,0.3892694540599514,-0.030042170475550953,0.07588779669510223,0.0918897182158771
"|CAR|[-1,+1]",M3_specificity_overall,firm_FE,firm_cluster_CR1,Specificity_mean,61,6,0.006655544488745817,0.01801585558100739,0.7269387909187763,-0.0396556866212389,0.05296677559873053,0.0918897182158771
"|CAR|[-1,+1]",M3_specificity_overall,firm_FE,firm_cluster_CR1,Overall_sentiment,61,6,0.02292281310977564,0.01949410159093517,0.2925758031796528,-0.027188370341931285,0.07303399656148257,0.0918897182158771
"|CAR|[-1,+1]",M3_specificity_overall,firm_year_FE,HC3,Specificity_mean,61,6,0.007922468873494293,0.015301751641719348,0.6073498822432295,-0.022957716135731616,0.0388026538827202,0.392011046707726
"|CAR|[-1,+1]",M3_specificity_overall,firm_year_FE,HC3,Overall_sentiment,61,6,0.020161239362049607,0.03188737250944374,0.5306414066375059,-0.044190083650214665,0.08451256237431388,0.392011046707726
"|CAR|[-1,+1]",M3_specificity_overall,firm_year_FE,firm_cluster_CR1,Specificity_mean,61,6,0.007922468873494293,0.014128011990367104,0.5991565019859706,-0.02839474212259544,0.04423967986958403,0.392011046707726
"|CAR|[-1,+1]",M3_specificity_overall,firm_year_FE,firm_cluster_CR1,Overall_sentiment,61,6,0.020161239362049607,0.03026171222533813,0.5347664625548078,-0.057628968399657976,0.0979514471237572,0.392011046707726
"|CAR|[-1,+1]",M3b_specificity_ESG,pooled,HC3,Specificity_mean,62,7,-0.0024841915838147667,0.00704103946297474,0.7254837349127944,-0.016573279006164315,0.01160489583853478,0.018049731050926332
"|CAR|[-1,+1]",M3b_specificity_ESG,pooled,HC3,ESG_sentiment,62,7,0.010387671753668165,0.009880284838037589,0.2973834525676243,-0.009382732541440631,0.03015807604877696,0.018049731050926332
"|CAR|[-1,+1]",M3b_specificity_ESG,pooled,firm_cluster_CR1,Specificity_mean,62,7,-0.0024841915838147667,0.013063088217127147,0.8554477055765314,-0.03444841695485552,0.029480033787225985,0.018049731050926332
