Company,Fiscal Year,Event Date (adjusted),Estimation N,Alpha,Beta,"CAR[-1,+1]","CAR[-2,+2]","CAR[0,+1]","|CAR|[-1,+1]",Specificity source company,Specificity_mean,total_sent,ESGSentiment_Corporate,Corporate_ESG_share,Verified_ESG_share,_merge,exclusion_reason,regression_eligible,COVID_period,Specificity_z,log_total_sent
American International Group (AIG),2022,2023-04-03,221.0,0.0002899761648267,0.931250895685179,-0.0119311440638014,0.0151611391260533,-0.0111048224642478,0.0119311440638014,AIG,1.5,80.0,0.6428571428571429,0.175,0.075,both,,True,False,0.2634385252366158,4.382026634673881
American International Group (AIG),2023,2024-04-01,221.0,0.0009872836155876,0.8165359091181551,0.0009434445796586,-0.0002679961453894,0.0041007110066819,0.0009434445796586,AIG,1.25,112.0,0.5,0.0714285714285714,0.0089285714285714,both,,True,False,-0.8256209080676512,4.718498871295094
Chubb,2012,2013-04-22,221.0,0.0006486042071468,0.2828087320867432,0.0134805974328667,-0.0029414196269868,0.0063187428123403,0.0134805974328667,Chubb,,181.0,,0.0,0.0,both,Specificity undefined: no qualifying corporate ESG sentences,False,False,,5.198497031265826
Chubb,2013,2014-04-07,221.0,0.0002282528200537,0.2384129067071166,-0.0123939930037503,0.0056501601367231,-0.0077553742965421,0.0123939930037503,Chubb,1.0,320.0,0.0,0.028125,0.0,both,,True,False,-1.9146803413719182,5.768320995793772
Chubb,2014,2015-04-06,221.0,0.0005862688982909,0.5566176066911428,-0.005766229132449,-0.0117156598166792,-0.0033443344658128,0.005766229132449,Chubb,1.4210526315789471,413.0,0.2105263157894736,0.0460048426150121,0.0121065375302663,both,,True,False,-0.08047498001736432,6.023447592961033
Chubb,2015,2016-04-08,221.0,0.0007289276933264,0.695501900100995,-0.0029450985661474,-0.0048594157255234,0.0012083111641478,0.0029450985661474,Chubb,1.125,244.0,0.0,0.0327868852459016,0.0040983606557377,both,,True,False,-1.3701506247197848,5.497168225293202
Chubb,2016,2017-04-03,221.0,0.000295804344474,0.6942508974659426,0.005099270459698,0.0041967329647998,0.0087452947467613,0.005099270459698,Chubb,1.2857142857142858,267.0,0.1428571428571428,0.0524344569288389,0.0112359550561797,both,,True,False,-0.6700409890241841,5.58724865840025
Chubb,2017,2018-04-02,221.0,-5.791444595357714e-05,0.7063547807392881,-0.0241916654142573,-0.0055590083706545,-0.0038587515206309,0.0241916654142573,Chubb,1.5555555555555556,377.0,0.3888888888888889,0.0477453580901856,0.0212201591511936,both,,True,False,0.5054517326375642,5.932245187448011
Chubb,2018,2019-04-01,221.0,-2.2171961262476632e-05,0.71803092830624,-0.0063212321579839,-0.0236886834670907,-0.0096301804777103,0.0063212321579839,Chubb,1.6206896551724137,384.0,0.4482758620689655,0.0755208333333333,0.0338541666666666,both,,True,False,0.7891913551076408,5.950642552587727
Chubb,2019,2020-03-30,221.0,0.0003014444224252,0.7293149195507235,0.0325162040390374,0.029774271991991,0.0180831262547401,0.0325162040390374,Chubb,1.3636363636363635,433.0,0.4,0.1270207852193995,0.0369515011547344,both,,True,True,-0.3305938929293485,6.07073772800249
Chubb,2020,2021-04-01,221.0,9.720755988200192e-06,1.1020346120093367,-0.0406167832408406,-0.0211290836023995,-0.0148626823096486,0.0406167832408406,Chubb,1.3541666666666667,476.0,0.25,0.1008403361344537,0.0315126050420168,both,,True,False,-0.371846144190873,6.16541785423142
Chubb,2021,2022-04-04,221.0,0.0010367293338807,0.8227914651660357,-0.0091951299117113,-0.0055837815219712,-0.0163744985197469,0.0091951299117113,Chubb,1.5,512.0,0.3225806451612903,0.12109375,0.044921875,both,,True,False,0.2634385252366158,6.238324625039508
Chubb,2022,2023-04-03,221.0,0.0001920334485241,0.5880557227183645,0.0023317109499251,0.0037534371100838,0.0057775543817102,0.0023317109499251,Chubb,1.5769230769230769,421.0,0.3846153846153846,0.0617577197149643,0.0285035629453681,both,,True,False,0.5985337354840824,6.042632833682381
Chubb,2023,2024-04-01,221.0,0.0009825584803256,0.3511112080885383,-0.0078814643946331,-0.0101808984541526,-0.0093362245876383,0.0078814643946331,Chubb,1.4193548387096775,439.0,0.1935483870967742,0.0706150341685649,0.0296127562642369,both,,True,False,-0.08787096937766357,6.0844994130751715
"MetLife, Inc.",2012,2013-04-12,221.0,-1.560223870162468e-06,0.46948897692728,-0.0338861612123293,-0.0067869397657647,-0.0210834272217446,0.0338861612123293,MetLife,1.2222222222222223,102.0,0.3333333333333333,0.088235294117647,0.0196078431372549,both,,True,False,-0.9466275117681249,4.624972813284271
"MetLife, Inc.",2013,2014-04-11,221.0,0.0014738390961172,0.3297049933361121,-0.0608907403342545,-0.0369026167952848,-0.0217854950063568,0.0608907403342545,MetLife,,96.0,,0.0,0.0,both,Specificity undefined: no qualifying corporate ESG sentences,False,False,,4.564348191467836
"MetLife, Inc.",2014,2015-04-10,221.0,-0.0001744980763416,1.1129899698937085,0.0013783104047748,-0.0158467893744483,-0.0066935806845046,0.0013783104047748,MetLife,,87.0,,0.0,0.0,both,Specificity undefined: no qualifying corporate ESG sentences,False,False,,4.465908118654584
