Company,Fiscal Year,Event Date (adjusted),Estimation N,Alpha,Beta,"CAR[-1,+1]","CAR[-2,+2]","CAR[0,+1]","|CAR|[-1,+1]","CAR[0,+5]","CAR[0,+20]",total_sentences,positive_share,negative_share,Overall_sentiment,ESG_sentences,ESG_positive_share,ESG_negative_share,ESG_sentiment,Specificity_mean,Specificity_all_flagged_mean,specificity_sentences_classified,specificity_primary_sentences,source_company,_merge,exclusion_reason,regression_eligible,COVID_period
American International Group (AIG),2022,2023-04-03,221,0.0002899761648267,0.931250895685179,-0.0119311440638014,0.0151611391260533,-0.0111048224642478,0.0119311440638014,0.012863374693615807,0.020187177032984855,80.0,0.6875,0.075,0.6125,19.0,0.631578947368421,0.0526315789473684,0.5789473684210527,1.5,1.2105263157894737,19.0,14.0,AIG,both,,True,False
American International Group (AIG),2023,2024-04-01,221,0.0009872836155876,0.8165359091181551,0.0009434445796586,-0.0002679961453894,0.0041007110066819,0.0009434445796586,-0.0031471183154262172,-0.030353958924350014,112.0,0.75,0.0892857142857142,0.6607142857142857,10.0,0.5,0.1,0.4,1.25,1.3,10.0,8.0,AIG,both,,True,False
Chubb,2012,2013-04-22,221,0.0006486042071468,0.2828087320867432,0.0134805974328667,-0.0029414196269868,0.0063187428123403,0.0134805974328667,-0.012239449989390982,-0.012430102962967919,181.0,0.4972375690607735,0.1712707182320442,0.3259668508287293,16.0,0.3125,0.25,0.0625,,0.875,16.0,0.0,Chubb,both,specificity undefined,False,False
Chubb,2013,2014-04-07,221,0.0002282528200537,0.2384129067071166,-0.0123939930037503,0.0056501601367231,-0.0077553742965421,0.0123939930037503,0.010790314736840152,0.02578144445612901,320.0,0.378125,0.140625,0.2375,32.0,0.125,0.125,0.0,1.0,0.4375,32.0,9.0,Chubb,both,,True,False
Chubb,2014,2015-04-06,221,0.0005862688982909,0.5566176066911428,-0.005766229132449,-0.0117156598166792,-0.0033443344658128,0.005766229132449,-0.0032722087519540775,-0.062441255553943885,413.0,0.3849878934624697,0.1670702179176755,0.2179176755447942,34.0,0.2352941176470588,0.3529411764705882,-0.1176470588235294,1.4210526315789471,0.9705882352941176,34.0,19.0,Chubb,both,,True,False
Chubb,2015,2016-04-08,221,0.0007289276933264,0.695501900100995,-0.0029450985661474,-0.0048594157255234,0.0012083111641478,0.0029450985661474,-0.001539310184270328,0.013946770345989989,244.0,0.3360655737704918,0.1639344262295081,0.1721311475409836,28.0,0.1071428571428571,0.25,-0.1428571428571428,1.125,0.75,28.0,8.0,Chubb,both,,True,False
Chubb,2016,2017-04-03,221,0.000295804344474,0.6942508974659426,0.005099270459698,0.0041967329647998,0.0087452947467613,0.005099270459698,0.012600174988032556,-0.014326377665760122,267.0,0.3295880149812734,0.1685393258426966,0.1610486891385767,31.0,0.1612903225806451,0.1612903225806451,0.0,1.2857142857142858,0.8709677419354839,31.0,14.0,Chubb,both,,True,False
Chubb,2017,2018-04-02,221,-5.791444595357714e-05,0.7063547807392881,-0.0241916654142573,-0.0055590083706545,-0.0038587515206309,0.0241916654142573,-0.014818478473912912,-0.011642539160119756,377.0,0.3342175066312997,0.1538461538461538,0.1803713527851458,52.0,0.2307692307692307,0.173076923076923,0.0576923076923077,1.5555555555555556,1.2307692307692308,52.0,18.0,Chubb,both,,True,False
Chubb,2018,2019-04-01,221,-2.2171961262476632e-05,0.71803092830624,-0.0063212321579839,-0.0236886834670907,-0.0096301804777103,0.0063212321579839,-0.03615934882444684,0.010862373161314288,384.0,0.4140625,0.1510416666666666,0.2630208333333333,77.0,0.2857142857142857,0.1818181818181818,0.1038961038961038,1.6206896551724137,1.077922077922078,77.0,29.0,Chubb,both,,True,False
Chubb,2019,2020-03-30,221,0.0003014444224252,0.7293149195507235,0.0325162040390374,0.029774271991991,0.0180831262547401,0.0325162040390374,-0.0025529752397663794,-0.051796348192078484,433.0,0.394919168591224,0.1362586605080831,0.2586605080831409,91.0,0.3296703296703296,0.0989010989010989,0.2307692307692307,1.3636363636363635,1.098901098901099,91.0,55.0,Chubb,both,,True,True
