outcome,specification,scenario,predictor,covariance,N,firms,years,coefficient,SE,p_value,CI95_low,CI95_high,R_squared,inference_df,controls,standardization
"CAR[-1,+1]",firm_year_FE,exclude_March_April_2020,Specificity_mean,firm_cluster_CR1,55,6,11,-0.009813700359064193,0.011243550314354755,0.4226849654957792,-0.0387161665652075,0.019088765847079116,0.4353253705957816,5.0,,none
"CAR[-1,+1]",firm_year_FE,exclude_March_April_2020,Specificity_z,HC3,55,6,11,-0.0022527926527593214,0.0032532772651093964,0.492853278389665,-0.008838708161834276,0.004333122856315633,0.4353253705957816,38.0,,fixed pooled eligible sample; ddof=1
"CAR[-1,+1]",firm_year_FE,exclude_March_April_2020,Specificity_z,firm_cluster_CR1,55,6,11,-0.0022527926527593214,0.0025810231219982565,0.42268496549576423,-0.00888752380752537,0.004381938502006729,0.4353253705957816,5.0,,fixed pooled eligible sample; ddof=1
"CAR[-1,+1]",firm_year_FE,existing_text_controls,Specificity_mean,HC3,61,6,12,-0.03128323458135342,0.02410156085233652,0.20155051652693137,-0.07995732417423299,0.017390855011526152,0.35553599184627127,41.0,log_total_sent + ESGSentiment_Corporate,none
"CAR[-1,+1]",firm_year_FE,existing_text_controls,Specificity_mean,firm_cluster_CR1,61,6,12,-0.03128323458135342,0.028332417331547927,0.3198099507962666,-0.10411403193349802,0.04154756277079119,0.35553599184627127,5.0,log_total_sent + ESGSentiment_Corporate,none
"CAR[-1,+1]",firm_year_FE,existing_text_controls,Specificity_z,HC3,61,6,12,-0.00718125054168034,0.0055326550864196475,0.20155051652693318,-0.01835467416402569,0.003992173080665009,0.35553599184627116,41.0,log_total_sent + ESGSentiment_Corporate,fixed pooled eligible sample; ddof=1
"CAR[-1,+1]",firm_year_FE,existing_text_controls,Specificity_z,firm_cluster_CR1,61,6,12,-0.00718125054168034,0.00650387308192763,0.31980995079626684,-0.02389998854736748,0.009537487464006802,0.35553599184627116,5.0,log_total_sent + ESGSentiment_Corporate,fixed pooled eligible sample; ddof=1
"|CAR|[-1,+1]",firm_year_FE,exclude_most_influential,Specificity_mean,HC3,60,6,12,-0.0007862721665425378,0.009918738130747288,0.9371932616609301,-0.02080309610325126,0.019230551770166183,0.34660411941819047,42.0,,none
"|CAR|[-1,+1]",firm_year_FE,exclude_most_influential,Specificity_mean,firm_cluster_CR1,60,6,12,-0.0007862721665425378,0.009848884106043305,0.9394663816238763,-0.02610363475082466,0.024531090417739584,0.34660411941819047,5.0,,none
"|CAR|[-1,+1]",firm_year_FE,exclude_most_influential,Specificity_z,HC3,60,6,12,-0.00018049340157612142,0.0022769046912006615,0.937193261660925,-0.004775473097949657,0.0044144862947974135,0.3466041194181906,42.0,,fixed pooled eligible sample; ddof=1
"|CAR|[-1,+1]",firm_year_FE,exclude_most_influential,Specificity_z,firm_cluster_CR1,60,6,12,-0.00018049340157612142,0.002260869288869117,0.9394663816238713,-0.005992242928291066,0.005631256125138822,0.3466041194181906,5.0,,fixed pooled eligible sample; ddof=1
"|CAR|[-1,+1]",firm_year_FE,exclude_March_April_2020,Specificity_mean,HC3,55,6,11,-0.00023885197433414092,0.01012413096652731,0.9813012349413227,-0.02073408361765247,0.020256379668984192,0.3524865799147203,38.0,,none
"|CAR|[-1,+1]",firm_year_FE,exclude_March_April_2020,Specificity_mean,firm_cluster_CR1,55,6,11,-0.00023885197433414092,0.009512414762881796,0.9809389354653251,-0.024691292576836804,0.024213588628168525,0.3524865799147203,5.0,,none
"|CAR|[-1,+1]",firm_year_FE,exclude_March_April_2020,Specificity_z,HC3,55,6,11,-5.482987590710607e-05,0.002324053825007987,0.9813012349413223,-0.0047596308758705635,0.004649971124056352,0.3524865799147203,38.0,,fixed pooled eligible sample; ddof=1
"|CAR|[-1,+1]",firm_year_FE,exclude_March_April_2020,Specificity_z,firm_cluster_CR1,55,6,11,-5.482987590710607e-05,0.002183630771651391,0.9809389354653246,-0.00566803147325068,0.005558371721436469,0.3524865799147203,5.0,,fixed pooled eligible sample; ddof=1
"|CAR|[-1,+1]",firm_year_FE,existing_text_controls,Specificity_mean,HC3,61,6,12,0.011524315305548746,0.01869644504561244,0.5410441998788065,-0.026233921465671252,0.049282552076768744,0.3912394832027848,41.0,log_total_sent + ESGSentiment_Corporate,none
"|CAR|[-1,+1]",firm_year_FE,existing_text_controls,Specificity_mean,firm_cluster_CR1,61,6,12,0.011524315305548746,0.019126763143824197,0.5731067069439691,-0.037642594606483865,0.06069122521758136,0.3912394832027848,5.0,log_total_sent + ESGSentiment_Corporate,none
"|CAR|[-1,+1]",firm_year_FE,existing_text_controls,Specificity_z,HC3,61,6,12,0.002645474377505604,0.004291878953953517,0.5410441998788044,-0.006022151010178598,0.011313099765189807,0.3912394832027847,41.0,log_total_sent + ESGSentiment_Corporate,fixed pooled eligible sample; ddof=1
"|CAR|[-1,+1]",firm_year_FE,existing_text_controls,Specificity_z,firm_cluster_CR1,61,6,12,0.002645474377505604,0.004390661005017993,0.573106706943965,-0.008641079048430332,0.013932027803441542,0.3912394832027847,5.0,log_total_sent + ESGSentiment_Corporate,fixed pooled eligible sample; ddof=1
