Company Name,Year,total_sent,E_sent,S_sent,G_sent,E_ratio,S_ratio,G_ratio
Allstate,2017,16,2,8,0,0.125,0.5,0.0
Allstate,2018,25,0,9,0,0.0,0.36,0.0
Allstate,2019,34,5,14,1,0.14705882352941177,0.4117647058823529,0.029411764705882353
Allstate,2020,45,9,17,1,0.2,0.37777777777777777,0.022222222222222223
Allstate,2021,51,5,17,4,0.09803921568627451,0.3333333333333333,0.0784313725490196
Allstate,2022,75,9,19,0,0.12,0.25333333333333335,0.0
Allstate,2023,139,25,30,4,0.17985611510791366,0.2158273381294964,0.02877697841726619
China Life,2012,43,2,7,2,0.046511627906976744,0.16279069767441862,0.046511627906976744
China Life,2013,44,3,9,1,0.06818181818181818,0.20454545454545456,0.022727272727272728
China Life,2014,38,2,8,0,0.05263157894736842,0.21052631578947367,0.0
China Life,2015,43,0,4,2,0.0,0.09302325581395349,0.046511627906976744
China Life,2016,56,3,5,1,0.05357142857142857,0.08928571428571429,0.017857142857142856
China Life,2017,37,0,2,1,0.0,0.05405405405405406,0.02702702702702703
China Life,2018,87,3,12,0,0.034482758620689655,0.13793103448275862,0.0
China Life,2019,87,3,12,2,0.034482758620689655,0.13793103448275862,0.022988505747126436
China Life,2020,81,5,15,10,0.06172839506172839,0.18518518518518517,0.12345679012345678
China Life,2021,63,2,6,4,0.031746031746031744,0.09523809523809523,0.06349206349206349
China Life,2022,44,2,6,1,0.045454545454545456,0.13636363636363635,0.022727272727272728
China Life,2023,53,4,9,3,0.07547169811320754,0.16981132075471697,0.05660377358490566
Chubb,2012,181,9,7,0,0.049723756906077346,0.03867403314917127,0.0
Chubb,2013,320,6,25,2,0.01875,0.078125,0.00625
Chubb,2014,413,12,25,0,0.029055690072639227,0.06053268765133172,0.0
Chubb,2015,244,5,24,0,0.020491803278688523,0.09836065573770492,0.0
Chubb,2016,267,10,21,1,0.03745318352059925,0.07865168539325842,0.003745318352059925
Chubb,2017,377,37,15,1,0.09814323607427056,0.03978779840848806,0.002652519893899204
Chubb,2018,384,37,45,2,0.09635416666666667,0.1171875,0.005208333333333333
Chubb,2019,433,42,50,3,0.09699769053117784,0.11547344110854503,0.006928406466512702
Chubb,2020,476,33,67,1,0.06932773109243698,0.1407563025210084,0.0021008403361344537
Chubb,2021,512,66,67,0,0.12890625,0.130859375,0.0
Chubb,2022,421,32,26,2,0.07600950118764846,0.06175771971496437,0.004750593824228029
Chubb,2023,439,33,29,1,0.07517084282460136,0.06605922551252848,0.002277904328018223
Daichi,2012,66,7,17,0,0.10606060606060606,0.25757575757575757,0.0
Daichi,2013,145,11,17,3,0.07586206896551724,0.11724137931034483,0.020689655172413793
Daichi,2014,63,2,26,1,0.031746031746031744,0.4126984126984127,0.015873015873015872
Daichi,2015,62,2,26,1,0.03225806451612903,0.41935483870967744,0.016129032258064516
